country_code,latitude,longitude,sum_sports,decathlon_id,sports_api_id,groups_id
CA,45.3168,-73.8659,1,219,219,1
CA,45.1665,-73.5239,2,78,78,18
CA,45.689,-73.8671,48,443,627,9
CA,45.689,-73.8671,1,293,593,8
CA,45.4001,-74.0325,4,425,109,15
CA,45.4001,-74.0325,13,178,270,17
CA,45.4001,-74.0325,1,300,593,8
CA,45.4001,-74.0325,1,296,593,8
CA,43.9394,-79.4349,2,305,134,20
CA,43.8669,-79.4414,2,74,74,3
CA,43.9394,-79.4349,2,12,257,2
CA,43.9394,-79.4349,1,224,224,1
CA,45.4334,-73.1659,1,139,134,20
CA,45.5069,-73.8407,1,93,93,20
CA,48.8763,-72.212,3,224,224,1
CA,46.6315,-72.737,2,458,147,9
CA,46.25,-83.55,1,320,322,25
CA,45.5,-73.4833,14,319,319,10
CA,45.5946,-73.2283,25,283,282,11
CA,45.5946,-73.2283,8,321,322,25
CA,45.5946,-73.2283,2,76,76,3
CA,45.5946,-73.2283,2,317,273,9
CA,46.2291,-73.5359,2,76,76,3
CA,45.7418,-70.6912,1,186,272,13
CA,45.7424,-73.6509,1,98,404,19
CA,48.3398,-70.8893,1,321,322,25
CA,45.6345,-74.1005,2,132,132,20
CA,46.7,-71.5833,2,78,78,18
CA,45.7334,-74.1325,6,318,318,10
CA,46.9804,-70.5549,3,461,257,2
CA,46.3668,-72.6168,2,332,279,9
CA,46.3695,-72.6789,1,316,273,9
CA,46.2168,-72.6158,2,134,134,20
CA,46.2168,-72.6158,2,466,134,20
CA,43.9702,-80.016,2,319,319,10
CA,46.3267,-73.6392,14,458,147,9
CA,45.4414,-73.4561,2,302,593,8
CA,45.4414,-73.4561,9,458,147,9
CA,45.9649,-73.7099,2,458,147,9
CA,46.2559,-72.9415,1,459,279,9
CA,46.2559,-72.9415,2,333,279,9
CA,45.4414,-73.7749,2,288,288,14
CA,45.4414,-73.7749,7,389,257,2
CA,45.591,-73.4361,56,285,285,11
CA,45.2557,-76.2754,2,66,66,22
CA,45.4289,-75.6844,3,428,109,15
CA,49.8966,-97.2404,1,280,257,2
CA,45.3526,-73.7305,5,70,70,25
CA,45.3526,-73.7305,18,282,282,11
CA,45.3526,-73.7305,1,459,279,9
CA,45.3691,-73.7216,3,286,286,14
CA,45.3526,-73.7305,2,471,322,25
CA,45.3526,-73.7305,3,182,849,26
CA,46.034,-73.441,7,449,391,29
CA,45.038,-73.0412,1,186,272,13
CA,43.4581,-80.4818,4,163,163,25
CA,43.9251,-78.8287,15,443,627,9
CA,44.3572,-79.6929,2,428,109,15
CA,45.2307,-74.327,1,409,409,23
CA,50.2604,-119.2774,3,89,89,16
CA,46.0464,-73.7085,5,224,224,1
CA,50.6998,-119.2691,1,285,285,11
CA,42.9546,-81.2735,1,320,322,25
CA,42.9856,-81.1821,3,282,282,11
CA,49.2212,-122.6896,2,285,285,11
CA,45.4973,-73.4676,6,458,147,9
CA,45.481,-73.497,5,29,29,9
CA,45.481,-73.497,8,284,284,11
CA,45.4924,-73.5009,7,12,257,2
CA,45.5073,-73.5082,1,461,257,2
CA,45.4973,-73.4676,1,389,257,2
CA,45.4924,-73.5009,1,156,268,22
CA,45.4924,-73.5009,3,312,312,20
CA,45.5073,-73.5082,2,395,522,2
CA,43.8113,-79.193,2,70,70,25
CA,43.8016,-79.3216,1,70,70,25
CA,43.7298,-79.2639,1,143,143,20
CA,43.7946,-79.2644,1,70,70,25
CA,46.0937,-71.3054,1,284,284,11
CA,45.1264,-72.9868,6,443,627,9
CA,45.7395,-73.4588,8,186,272,13
CA,45.7395,-73.4588,7,318,318,10
CA,45.7774,-73.4252,4,143,143,20
CA,45.7774,-73.4252,3,312,312,20
CA,46.2132,-70.4826,1,458,147,9
CA,45.0837,-73.372,1,307,307,20
CA,47.55,-52.6667,4,458,147,9
CA,46.7167,-71.2667,2,283,282,11
CA,46.197,-59.957,1,428,109,15
CA,46.8033,-71.1779,1,428,109,15
CA,46.8033,-71.1779,1,291,351,15
CA,46.6821,-73.9188,2,224,224,1
CA,50.2,-66.3833,1,49,49,9
CA,50.2,-66.3833,1,317,273,9
CA,45.4459,-73.5815,17,66,66,22
CA,45.4643,-73.5698,3,87,87,16
CA,45.4643,-73.5698,2,49,49,9
CA,45.4643,-73.5698,4,459,279,9
CA,45.4459,-73.5815,3,109,109,15
CA,43.3799,-79.7668,3,458,147,9
CA,43.4342,-79.8701,4,66,66,22
CA,45.8776,-70.9847,1,12,257,2
CA,45.4394,-75.8465,8,66,66,22
CA,45.4716,-75.7616,6,443,627,9
CA,45.448,-75.7434,1,306,134,20
CA,45.4394,-75.8465,1,109,109,15
CA,45.4869,-75.6157,1,81,81,16
CA,49.2413,-124.8028,4,66,66,22
CA,45.3126,-73.2351,1,298,593,8
CA,46.2337,-73.0179,5,224,224,1
CA,45.6602,-73.8157,2,132,132,20
CA,43.2001,-79.5663,1,143,143,20
CA,45.4668,-76.6827,1,280,257,2
CA,45.4001,-74.0325,1,293,593,8
CA,45.4001,-74.0325,5,37,37,9
CA,45.4001,-74.0325,4,307,307,20
CA,45.2455,-74.2481,2,283,282,11
CA,45.2822,-71.9715,1,70,70,25
CA,45.5069,-73.8407,1,81,81,16
CA,48.3684,-89.284,1,458,147,9
CA,48.5548,-71.673,4,51,49,9
CA,48.5548,-71.673,2,70,70,25
CA,45.8668,-74.0825,1,320,322,25
CA,45.8833,-72.7667,1,389,257,2
CA,46.6315,-72.737,3,287,262,14
CA,46.6315,-72.737,1,292,292,30
CA,46.5558,-72.7437,1,319,319,10
CA,49.1919,-98.1014,1,395,522,2
CA,49.1919,-98.1014,1,461,257,2
CA,46.0365,-73.0665,3,428,109,15
CA,45.5946,-73.2283,13,109,109,15
CA,45.5946,-73.2283,1,316,273,9
CA,46.2291,-73.5359,1,253,253,24
CA,45.77,-73.6049,2,219,219,1
CA,51.1762,-115.5698,1,389,257,2
CA,45.1302,-73.989,1,45,45,9
CA,43.7592,-79.7605,10,458,147,9
CA,43.7059,-79.7626,2,12,257,2
CA,45.4674,-73.4832,1,12,257,2
CA,45.4455,-73.4841,1,74,74,3
CA,45.4414,-73.4561,2,292,292,30
CA,45.4455,-73.4841,1,312,312,20
CA,45.4424,-73.4231,1,318,318,10
CA,49.7002,-123.156,4,219,219,1
CA,47.132,-70.3647,1,163,163,25
CA,48.8002,-79.1996,1,163,163,25
CA,47.1691,-71.4332,5,458,147,9
CA,45.6694,-73.7752,2,93,93,20
CA,45.6694,-73.7752,9,282,282,11
CA,46.2559,-72.9415,1,323,323,25
CA,45.4414,-73.7749,2,74,74,3
CA,45.591,-73.4361,67,443,627,9
CA,45.591,-73.4361,20,320,322,25
CA,45.591,-73.4361,3,293,593,8
CA,45.4168,-73.4992,3,488,522,2
CA,46.8943,-70.8226,1,283,282,11
CA,43.1836,-79.9902,1,284,284,11
CA,45.3548,-75.5773,6,66,66,22
CA,45.399,-75.6871,2,45,45,9
CA,45.4167,-75.7,6,219,219,1
CA,45.4448,-75.6431,1,76,76,3
CA,45.4123,-75.7108,3,66,66,22
CA,45.3645,-75.7934,2,322,322,25
CA,49.8143,-97.1531,1,285,285,11
CA,46.034,-73.441,12,224,224,1
CA,46.034,-73.441,5,12,257,2
CA,43.4581,-80.4818,3,171,171,25
CA,43.447,-80.4725,2,285,285,11
CA,47.8184,-69.1505,28,332,279,9
CA,46.2761,-73.7718,1,313,20,11
CA,44.5834,-79.7497,1,70,70,25
CA,42.9582,-81.238,6,12,257,2
CA,45.4906,-73.3991,2,160,160,21
CA,45.481,-73.497,1,76,76,3
CA,45.4924,-73.5009,3,466,134,20
CA,45.7774,-73.4252,19,443,627,9
CA,42.2481,-82.9952,1,458,147,9
CA,42.2836,-82.9771,1,458,147,9
CA,47.6181,-65.6511,1,186,272,13
CA,45.8454,-72.5713,1,143,143,20
CA,46.7167,-71.2667,1,109,109,15
CA,46.7167,-71.2667,1,289,289,19
CA,62.456,-114.3525,3,443,627,9
CA,45.4594,-73.5501,4,134,134,20
CA,45.4643,-73.5698,1,392,392,27
CA,45.4459,-73.5815,1,291,351,15
CA,45.6512,-72.5666,1,45,45,9
CA,43.3799,-79.7668,2,29,29,9
CA,45.5435,-75.4274,1,250,250,
CA,45.5856,-75.4208,3,443,627,9
CA,45.3932,-75.8288,1,66,66,22
CA,45.448,-75.7434,2,156,268,22
CA,45.4776,-75.7059,3,292,292,30
CA,45.4776,-75.7059,1,305,134,20
CA,45.448,-75.7434,1,160,160,21
CA,45.3053,-66.0808,2,12,257,2
CA,47.3167,-70.5667,1,286,286,14
CA,46.3168,-74.2159,1,219,219,1
CA,46.3168,-74.2159,1,45,45,9
CA,53.4593,-113.4145,1,281,281,11
CA,53.5366,-113.5103,1,81,81,16
CA,45.6225,-73.6949,8,286,286,14
CA,45.5338,-73.7652,2,321,322,25
CA,45.5501,-73.6992,7,280,257,2
CA,45.5501,-73.6992,3,143,143,20
CA,45.6409,-73.7542,3,89,89,16
CA,45.5334,-73.8159,2,306,134,20
CA,45.6739,-73.5924,4,29,29,9
CA,45.5984,-73.7159,1,313,20,11
CA,45.7788,-73.9829,1,219,219,1
CA,45.7987,-74.0727,1,219,219,1
CA,45.5333,-73.5167,9,70,70,25
CA,45.5679,-73.4761,17,282,282,11
CA,45.5183,-73.5023,1,76,76,3
CA,45.5362,-73.4721,12,81,81,16
CA,45.5181,-73.4576,4,139,134,20
CA,45.5333,-73.5167,1,141,307,20
CA,45.5049,-73.7142,4,109,109,15
CA,45.5167,-73.6667,10,319,319,10
CA,44.0992,-77.5776,1,449,391,29
CA,45.4501,-73.8659,10,458,147,9
CA,45.6834,-73.4325,4,318,318,10
CA,45.3168,-73.8659,6,281,281,11
CA,45.5334,-73.9992,1,291,351,15
CA,45.689,-73.8671,2,301,593,8
CA,45.4001,-74.0325,18,320,322,25
CA,45.4001,-74.0325,1,297,593,8
CA,46.0965,-64.7976,1,458,147,9
CA,46.0987,-64.8036,1,298,593,8
CA,46.0987,-64.8036,1,295,593,8
CA,43.8582,-79.3985,1,288,288,14
CA,45.8945,-77.2801,1,186,272,13
CA,45.4168,-73.4992,26,280,257,2
CA,45.4334,-73.1659,1,490,489,9
CA,46.5068,-72.7436,16,332,279,9
CA,46.0365,-73.0665,3,283,282,11
CA,47.3334,-79.433,3,285,285,11
CA,45.5946,-73.2283,17,428,109,15
CA,45.5946,-73.2283,7,319,319,10
CA,46.2291,-73.5359,2,282,282,11
CA,45.7045,-73.9472,2,70,70,25
CA,45.6345,-74.1005,2,178,270,17
CA,45.6345,-74.1005,2,250,250,
CA,43.7592,-79.7605,2,281,281,11
CA,45.188,-73.4,2,286,286,14
CA,45.7334,-74.1325,1,45,45,9
CA,46.3668,-72.6168,1,166,166,21
CA,45.8834,-73.2825,1,186,272,13
CA,46.3267,-73.6392,1,29,29,9
CA,45.4414,-73.4561,3,29,29,9
CA,45.4455,-73.4841,6,449,391,29
CA,45.4424,-73.4231,1,291,351,15
CA,45.4395,-73.0523,2,389,257,2
CA,48.8334,-64.4819,2,334,279,9
CA,46.2559,-72.9415,1,224,224,1
CA,44.9988,-64.7312,6,45,45,9
CA,45.591,-73.4361,9,178,270,17
CA,45.591,-73.4361,9,89,89,16
CA,45.591,-73.4361,2,300,593,8
CA,45.591,-73.4361,2,296,593,8
CA,45.591,-73.4361,4,425,109,15
CA,45.4168,-73.4992,9,141,307,20
CA,45.4123,-75.7108,1,163,163,25
CA,45.4289,-75.6844,3,286,286,14
CA,45.4023,-75.7329,2,292,292,30
CA,45.4023,-75.7329,1,100,100,12
