Name1,Name2,Name3,Name4
Water Aerobics,,,
Lifesaving,Sauvetage sportif,Sauvetage,
Swimming,Natation,Natation,
Aqualearning,Initiation à la natation,Initiation à la natation,
Competitive swimming,Natation de compétition,Natation de compétition,
Marathon swimming,Natation marathon,Natation marathon,
Open water swimming,Nage en eau libre,Nage en eau libre,
Paralympic swimming,Natation handisport,Natation handisport,
Synchronized swimming,Nage synchronisée,Nage synchronisée,
Water Polo,Water-polo,Water-polo,
Flippa ball,Flippa polo,Flippa polo,
Surf polo,Surf polo,Surf polo,
Inner tube water polo,Water polo sur bouée gonflable,Water polo sur bouée gonflable,
Aquafit,Aquaforme,Aquaforme,
Aqua cycling,Aqua-spinning,Aquabiking,
Aquadance,Aquadanse,Aquadanse,Aqua Zumba
Aquajogging,Aquajogging,Aquajogging,
Athletics,,,
Running,Course à pied,Course à pied,
10K run,Course sur 10 km,Course sur 10 km,
5K run,Course sur 5 km ,Course sur 5 km ,
Adventure running,Course hors sentier,Course hors sentier,
Cross country running,Cross-country,Cross-country,XC 
Ekiden,Relais ekiden,Relais ekiden,
Fell running,Course en montagne,Course en montagne,Hill running
Half marathon,Semi-marathon,Semi-marathon,"Course sur 21 km, "
Hurdling,Course de haies,Course de haies,
Indoor running,Course d'intérieur,Course d'intérieur,
Jogging,Jogging,Jogging,
Long-distance running,Course de fond,Course de fond,
Marathon,Marathon,Marathon,
Middle-distance running,Course de demi-fond,Course de demi-fond,
Mountain running,Course de montagne,Course de montagne,
Paralympic running,Course paralympique,Course paralympique,
Relay race,Relais,Course à relais,
Road Running,Course sur route,Course sur route,
Skyrunning,Skyrunning,Skyrunning,
Snowshoe running,Course à raquette,Course à raquette,
Sprinting,Sprint,Sprint,
Steeplechase,Steeple,Steeple,
Tower running,Course d'escaliers,Course d'escaliers,
Track & Field,Athlétisme,Athlétisme,
Trail running,Course en sentier,Course en sentier,
Ultramarathon,Ultra-marathon,Ultrafond,Ultra
Wheelchair running,Course en fauteuil roulant,Course en fauteuil roulant,
Walking,Marche,Marche,
Snowshoeing ,Marche à raquette à neige,Marche à raquette à neige,
Nordic walking,Marche nordique,Marche nordique,
Power walking,Marche rapide,Marche rapide,
Race Walking?,Marche athlétique,Marche athlétique,
Throwing,Lancer,Lancer,
Discus throw,Lancer du disque,Lancer du disque,
Hammer throw,Lancer du marteau,Lancer du marteau,
Javelin throw,Lancer du javelot,Lancer du javelot,
Shot put,Lancer du poids,Lancer du poids,
Jumping,Saut,Saut,
High jump,Saut en hauteur,Saut en hauteur,
Long jump,Saut en longueur,Saut en longueur,
Pole vault,Saut à la perche,Saut à la perche,
Triple jump,Triple saut,Triple saut,
Bat-and-ball games,,,
Baseball,Baseball,Baseball,
Brännboll,Brännboll,Brännboll,
British baseball,Welsh baseball,Welsh baseball,
Corkball,Corkball,Corkball,
Crocker,Crocker,Crocker,
Fuzzball,Fuzzball,Fuzzball,
Oin?,Oin?,Oin?,
Over-the-line,Over-the-line,Over-the-line,
